text,sentiment_score,used_tokens
@loveintagalog Good luck to our diabetes,0.7096,0.3333333333333333
"@loveintagalog @mrsunlawyer You just had to say that, I bet",0.0,0.0
@loveintagalog @mrsunlawyer Almost fell off my rocker reading this ma'am. Before that I was reading today's gospel from Daily Bread. #lent,0.0,0.05
"@markcojuangco @loveintagalog Fall from Grace. You know, in Eden.",0.4215,0.1111111111111111
@loveintagalog Stiff upper lip and make the other guy eat your dust,0.0,0.0
"RT @ABSCBNNews: On Ash Wednesday, pope says wealth is 'dust in the wind' https://t.co/DS8w4KR9Wi",0.4939,0.07142857142857142
RT @teddyboylocsin: It is here. In all its glory. As tasty as Nathan in Coney Island. https://t.co/RoFSPJe3dV,0.5423,0.058823529411764705
RT @BBCWorld: US Civil War-era tunnels and buildings found under Alcatraz prison https://t.co/6kKUUtlrGX,-0.5106,0.07692307692307693
"RT @TheArtist_MBS: So, @reisthebault never ceases to amaze me, and his reporting on a ""moose truce"" between Canada and Norway — following a…",-0.431,0.14285714285714285
@teddyboylocsin the art of globe making hasn't quite died yet https://t.co/aQDGv424aD,0.4838,0.2727272727272727
RT @mashable: This origami robot is being developed to one day perform intricate medical procedures https://t.co/IsJRJBueEU,0.1531,0.0625
RT @mashable: Now THIS is the future of transportation https://t.co/EQFxXsB5eJ,0.0,0.0
RT @mashable: What's better than a hammock? A hot-tub-hammock https://t.co/uejV3MMzzm,0.4404,0.125
"RT @mashable: Save the planet, eat your dinnerware https://t.co/o5CJJ5X3Fx",0.4939,0.1111111111111111
RT @mashable: Keeping floors clean just got a lot easier https://t.co/digQiSXGwd,0.6705,0.2
"RT @RedAroundWorld: Have you been to the Kennedy Space Center? ⠀
⠀
I went with my parents when they were here visiting.  This is part of th…",0.0,0.0
@RedAroundWorld @readingthebook_ Rustic,0.0,0.0
RT @cnni: US intelligence officials will no longer be required to publicly disclose the number of civilians killed in airstrikes against te…,-0.5106,0.18181818181818182
RT @CNN: Goodyear unveiled a new concept tire that could double as a propeller and help cars fly https://t.co/CMgH16NmgB https://t.co/rX5AV…,0.4019,0.05555555555555555
"RT @WritingReader: When you #write, try to leave out all the parts #readers skip.- Elmore Leonard #writing #amwriting #quote https://t.co/B…",-0.0516,0.05
@Travelmath An indifferent heart.,-0.2023,0.25
RT @BellaLack: Funny how we perceive this to be the lions blocking the humans rather than a road sprawling through their habitat.  https://…,0.0772,0.09090909090909091
@loveintagalog Postpone Capt Marvel till https://t.co/WrnrDMEq4a's not the end of the world.,0.2263,0.25
"RT @EcoSenseNow: Anyone who banks on ""wave energy"" has never been to sea. These contraptions usually end up on the beach. Hydro-electric da…",0.2732,0.08695652173913043
RT @LiYuan6: When will a Chinese company sue the Chinese government? How about an American company?,0.0,0.0
RT @BrianWoodMC: Tune into @bbc5live 12:30. I will be speaking to @Emmabarnett about my book #DoubleCrossed https://t.co/8SO4gyNwR0,0.0,0.0
RT @itsWillyFerrell: This dog is killing me right now https://t.co/JZCEVyKKIO,-0.6597,0.1
"RT @Pontifex: At the beginning of Lent, it would do us good to ask for the grace to preserve the memory of all that the Lord has done in ou…",0.6908,0.06666666666666667
"RT @franciskong: The word “Regret"" is one of the saddest words you can find in the dictionary. Make it a point not to use this word too oft…",-0.6124,0.07407407407407407
"RT @franciskong: The words “What if?"" opens opportunities and leads to the exploration of possibilities. Make it a habit to think this way…",0.5423,0.09090909090909091
